YEAR,AUS,BRA,CAN,CHN,RUS,USA
1901,21.357021,24.896547,-7.672419,6.154132,-6.5901175,6.6187487
1902,21.382462,25.09181,-7.8627114,6.222487,-7.793664,6.4643273
1903,20.936884,24.896107,-7.910783,5.9935036,-6.568311,6.073844
1904,20.791357,24.527473,-8.155729,6.0054903,-6.6256943,6.149883
1905,20.95451,24.840496,-7.5473113,5.871316,-6.63481,6.599617
1906,21.767315,24.773937,-7.6841035,5.965019,-6.3158426,6.5228577
1907,21.051441,24.726265,-8.413553,5.9979796,-7.1421456,6.3265276
1908,20.649048,24.891228,-7.7909293,6.092247,-7.090319,6.6985435
1909,20.812077,24.801495,-8.2393055,6.0718336,-6.9754057,6.037902
1910,21.29496,24.767641,-7.7746115,5.6930556,-6.868949,6.572676
1911,21.101551,24.702343,-8.114447,5.8518634,-6.9535227,6.6003304
1912,21.549242,24.702488,-7.8854027,5.8373575,-7.7559595,6.3779836
1913,20.955944,24.747656,-7.9879403,5.777303,-6.8377585,6.5980864
1914,21.891811,25.001505,-7.9659376,6.3128076,-6.659032,6.960702
1915,21.851543,25.063795,-7.144039,5.945306,-7.392226,6.8052955
1916,21.253654,24.573738,-8.132978,6.011174,-7.172494,6.159147
1917,20.515036,24.081936,-8.499914,5.8387933,-6.840365,5.670571
1918,21.054869,24.573418,-8.204662,5.844106,-6.8700852,6.3653173
1919,21.498652,24.992315,-8.035986,6.1074004,-7.3265076,6.4881067
1920,20.988092,24.629692,-7.83068,6.089724,-6.4090285,6.0916157
1921,21.350399,24.334965,-7.685777,6.1020813,-6.241769,7.385264
1922,21.160658,24.371807,-8.33499,6.2342215,-6.780221,6.6565332
1923,21.245165,24.37411,-8.022125,6.3062925,-6.531639,6.807252
1924,20.847313,24.255426,-7.5745683,6.2945075,-6.3964267,6.0486555
1925,20.788929,24.437939,-7.951626,6.1790285,-6.1547813,6.9437246
1926,21.53575,24.772419,-7.7927895,6.372322,-6.397072,7.3156495
1927,21.176247,24.338501,-7.961727,6.1917295,-6.672801,6.5663652
1928,21.684956,24.549429,-7.237975,6.233309,-6.8203077,6.933179
1929,20.806751,24.388468,-8.1236515,5.9407096,-7.2088075,6.5713944
1930,21.424381,24.692787,-7.3023057,6.085325,-6.568522,6.689477
1931,20.98227,24.63292,-6.6463394,5.981201,-6.7867727,7.4942217
1932,21.250154,24.742476,-7.8216887,6.5299788,-5.8538465,6.477624
1933,21.073204,24.408184,-8.693134,6.2687073,-7.2421904,6.762614
1934,21.18864,24.358976,-7.9643273,5.9167624,-5.722938,7.6559515
1935,21.07507,24.552368,-8.166967,6.4012346,-6.3348236,6.7448707
1936,21.399372,24.793364,-8.594225,5.784777,-6.1343613,6.950971
1937,21.230488,24.749926,-7.3392534,6.1459556,-6.2088976,6.838399
1938,21.782574,24.633394,-6.856349,6.4919252,-5.6713586,7.416555
1939,21.052944,24.676409,-7.669108,6.57857,-5.921089,7.1446433
1940,21.318531,24.92098,-6.7993813,6.607409,-6.768257,7.2885513
1941,20.936115,25.087818,-7.2331047,6.9328446,-7.574234,7.365968
1942,21.50133,24.88943,-7.0978127,6.6453424,-6.732177,7.005437
1943,20.862316,24.662493,-7.223188,6.5920043,-5.253798,6.997035
1944,21.126354,24.960236,-6.6039467,6.2813845,-5.7008243,6.9751916
1945,21.121063,24.751871,-7.6463456,6.4503174,-6.4971876,6.656516
1946,20.850689,24.82267,-7.7395096,6.882669,-7.048009,7.023234
1947,21.157663,24.613426,-7.1615243,6.237058,-6.505028,6.850766
1948,21.00282,24.73713,-7.6599693,6.8178353,-5.5612025,6.3691163
1949,20.56872,24.509995,-7.696353,6.490711,-6.127337,6.8932548
1950,20.868917,24.528568,-8.51783,6.12042,-6.782192,6.6314125
1951,21.05676,24.488796,-7.9039297,6.2436237,-6.2935376,6.411795
1952,21.036129,24.644905,-6.68077,5.9980936,-7.3219094,6.914982
1953,21.010832,24.787127,-6.753952,6.5352335,-5.880746,7.4295907
1954,21.046041,24.857592,-7.3340645,5.81072,-6.371823,7.194499
1955,21.122854,24.568645,-7.586001,6.247255,-6.8886633,6.3436875
1956,20.544973,24.290783,-8.274305,5.765575,-6.8833838,6.3972116
1957,21.454187,24.673687,-7.763301,5.7956295,-6.659446,7.1971045
1958,21.547884,25.121525,-6.903258,6.4478416,-7.512993,7.0539527
1959,21.680462,24.947987,-7.8713837,6.410853,-5.9786987,6.6787567
1960,20.851427,24.629892,-6.951033,6.236415,-7.176412,6.7200975
1961,21.552526,25.141964,-7.946412,6.508203,-6.2919908,6.492202
1962,21.391928,24.80534,-7.46536,6.218542,-5.7624164,6.9103217
1963,21.33833,25.217241,-7.3633285,6.4806314,-6.378953,7.016024
1964,21.226362,24.832363,-8.241131,6.0945826,-7.0573463,6.2749743
1965,21.669321,25.042736,-8.07827,6.13748,-7.192076,6.4657106
1966,20.947184,25.179237,-7.832679,6.1948395,-7.6549253,6.2815533
1967,21.224976,25.035997,-7.9735923,5.791807,-5.5740786,6.8660445
1968,21.03405,24.658405,-7.3681207,6.092263,-6.873922,6.48026
1969,21.39541,25.26417,-7.0392914,5.6895733,-7.8040285,6.7636886
1970,21.310116,25.130068,-7.7205734,5.9209146,-6.77007,6.5991926
1971,21.214195,24.418861,-7.469781,6.227179,-6.220013,6.234191
1972,21.57492,24.88816,-9.5251875,6.1178436,-6.885853,6.2434025
1973,21.90311,25.007069,-6.8533416,6.5324273,-6.13993,6.8392715
1974,20.758308,24.396254,-8.428787,6.00323,-6.8805366,6.6009254
1975,21.215776,24.438084,-7.6218567,6.5270143,-5.3974404,6.2090316
1976,20.764523,24.39613,-7.5888953,5.856527,-7.112438,6.4971757
1977,21.398935,24.807856,-6.5572577,6.2462916,-6.8234925,7.2084436
1978,21.155218,24.677866,-7.9933357,6.4626074,-6.5239754,6.8957963
1979,21.765207,24.693518,-7.8457174,6.4677925,-7.22014,6.694786
1980,22.130589,24.841465,-7.0491714,6.4083433,-6.579745,7.066892
1981,21.700855,24.6487,-5.506665,6.430368,-5.3247347,7.767236
1982,21.449705,24.80703,-8.513794,6.666129,-6.4306974,6.4656076
1983,21.750803,25.007809,-7.4635363,6.452796,-5.261591,6.9508657
1984,21.048607,24.80416,-7.4141984,5.9655323,-6.353821,6.6931024
1985,21.594568,24.776478,-7.432916,6.2065268,-6.6584997,6.547124
1986,21.581608,24.891207,-7.710351,6.359657,-6.1026864,7.4475794
1987,21.59427,25.302525,-6.4537835,6.6079154,-7.4683037,7.6064095
1988,22.105854,25.050127,-6.61003,6.745823,-5.578286,7.2044106
1989,21.37485,24.709227,-7.7064857,6.7092314,-5.360856,6.8280497
1990,21.8711,25.069971,-7.6779985,7.0314193,-5.2938213,7.3916855
1991,22.043804,25.041132,-7.095147,6.638143,-5.5116844,7.500322
1992,21.489603,24.83469,-7.6978874,6.44487,-6.218837,6.967962
